ABACO;INSTRUMENTO DE CÁLCULO
DERMA;CAMADA DA PELE
DESCE;MOVER EM DECLIVE
DESDE;A PARTIR DE ENTÃO
DESSA;DESTA COISA
DESSE;DOU OU FORNEÇO / PRONOME
DESTA;DESTA PESSOA/OBJETO
DESTE;DESTE INDIVÍDUO
DETEM;POSSUI OU RETÉM
DEUSA;DIVINDADE FEMININA
DEVER;OBRIGAÇÃO MORAL
DEVIR;PROCESSO DE MUDANÇA
DIABO;ENTIDADE DO MAL
DIETA;REGIME DE ALIMENTAÇÃO
DIGNA;MERECEDORA DE HONRA
DIGNO;HONRADO E RETO
DIODO;COMPONENTE ELETRÔNICO
DIQUE;BARREIRA CONTRA ÁGUA
DIRIA;FALARIA A RESPEITO
DISCO;MÍDIA MUSICAL
DISSO;DAQUELE ASSUNTO
DISTO;DESTE ASSUNTO
DITOS;PROVÉRBIOS POPULARES
DIVAS;CANTORAS CELEBRADAS
DIZER;EXPRESSAR EM PALAVRAS
DOBRA;VINCO NO PAPEL
DOBRE;TORNAR EM DOBRO
DOBRO;DUAS VEZES A QUANTIDADE
DOCAS;CAIS DE CARREGAMENTO
DOCES;GULOSEIMAS AÇUCARADAS
DOGMA;PRINCÍPIO INCONTESTÁVEL
DOIDA;LOUCA OU MALUCA
DOIDO;PIRADO OU INSANO
DONAS;PROPRIETÁRIAS
DONOS;DETENTORES DA POSSE
DORES;DESCONFORTO FÍSICO
DORME;REPOUSA EM SONO
DORMI;PEGAR NO SONO
DORSO;PARTE POSTERIOR
DOTES;TALENTOS NATURAIS
DOURA;TORNAR DOURADO
DOURO;RIO DE PORTUGAL
DOUTO;SÁBIO E INSTRUIDO
DRAGA;MÁQUINA DE ESCAVAÇÃO
DRAMA;OBRA DE TEATRO/CONFLITO
DRINK;COQUETEL DE BEBIDA
DRIVE;UNIDADE DE ARMAZENAGEM
DROGA;SUBSTÂNCIA MEDICAMENTOSA
DUCHA;BANHO DE CHUVEIRO
DUELO;COMBATE ENTRE DOIS
DUETO;CANÇÃO EM DUPLA
DUNAS;MORROS DE AREIA NO DESERTO
DUPLA;PAR DE DUAS PESSOAS
DUPLO;REPETIDO DUAS VEZES
DUQUE;TÍTULO NOBRE
DURAR;RESISTIR AO TEMPO
DURAS;RESISTENTES AO IMPACTO
DUROS;RIGIDOS E SÓLIDOS
DUTOS;TUBOS DE TRANSPORTE
DUZIA;CONJUNTO DE DOZE ITENS
EBANO;MADEIRA PRETA E NOBRE
EIXOS;LINHAS CENTRAIS
EJETA;EXPULSAR PARA FORA
ELEGE;ESCOLHER PELO VOTO
ELETO;ESCOLHIDO EM ELEIÇÃO
ELITE;GRUPO DOMINANTE/SUPERIOR
ELMOS;CAPACETES MEDIEVAIS
EMITA;EXPEDIR UM DOCUMENTO
EMITE;PRODUZ SINAL OU SOM
EMOJI;ÍCONE DE MENSAGEM
ENTAO;NESSE CASO / PORTANTO
ENTRE;NO MEIO DE DOIS
ENVIA;REMETE UMA CORRESPONDÊNCIA
ENVIO;DESPACHO DE ENCOMENDA
EPICA;NARRATIVA HEROICA
EPICO;GRANDIOSO COMO LENDA
EPOCA;PERÍODO HISTÓRICO
ERGUE;LEVANTA DO CHÃO
ERROS;FALHAS E EQUÍVOCOS
ERVAS;PLANTAS MEDICINAIS
ESCOA;FLUI PELO RALO
ESPIA;OBSERVA SECRETAMENTE
ESSAS;AQUELAS PRÓXIMAS
ESSES;AQUELES INDIVÍDUOS
ESTAO;ENCONTRAM-SE PRESENTES
ESTAR;PERMANECER EM CONDIÇÃO
ESTAS;ESTAS COISAS AQUI
ESTES;ESTES OBJETOS AQUI
ETANO;GÁS HIDROCARBONETO
ETAPA;FASE DE UM PROCESSO
ETICA;CONJUNTO DE PRINCÍPIOS MORAIS
ETICO;CONFORME A MORAL
ETNIA;GRUPO CULTURAL E GENÉTICO
EVITA;IMPEDIR QUE OCORRA
EVITE;NÃO FAÇA ISSO
EVOCA;CHAMAR À MEMÓRIA
EXAME;TESTE DE AVALIAÇÃO
EXATA;PRECISA E SEM ERRO
EXATO;PONTUAL E CORRETO
EXIGE;COBRA COM RIGOR
EXIGO;FAÇO UMA EXIGÊNCIA
EXILA;BANIR DA PÁTRIA
EXILE;MANDAR AO EXÍLIO
EXILO;AFASTAMENTO FORÇADO DO PAÍS
EXITO;TRIUNFO E SUCESSO
EXODO;SAÍDA EM MASSA
EXPUS;REVELEI AO PÚBLICO
EXTRA;ADICIONAL OU SUPLEMENTAR
FABIO;NOME PRÓPRIO
FACAS;LÂMINAS DE COZINHA
FACIL;SIMPLES DE EXECUTAR
FADAS;SERES MÁGICOS ALADOS
FADOS;DESTINO OU CANÇÃO PORTUGUESA
FAIXA;TIRA DE TECIDO OU PISTA
FALAM;EXPRESSAM EM VOZ
FALAR;CONVERSAR OU PRONUNCIAR
FALAS;DISCURSOS OU LINHAS
FALCO;AVE FALCÃO
FALHA;DEFEITO OU IMPERFEIÇÃO
FALHO;QUE COMETE ERROS
FALIR;QUEBRAR A EMPRESA
FALSO;ENGANOSO E INVERÍDICO
FALTA;AUSÊNCIA DE ALGO
FALTO;ESTOU AUSENTE
FAMAS;REPUTAÇÕES PÚBLICAS
FARDA;UNIFORME MILITAR
FARDO;PACOTE PESADO A CARREGAR
FARIA;EXECUTARIA A TAREFA
FAROL;GUIA DE LUZ PARA NAVEGAÇÃO
FARPA;PEDAÇO FINO DE MADEIRA
FARSA;PEÇA CÔMICA OU MENTIRA
FARTA;ABUNDANTE E REPLETA
FARTO;SACIADO DE COMIDA
FASES;ESTÁGIOS DE MUDANÇA
FATAL;QUE CAUSA A MORTE
FATOS;ACONTECIMENTOS REAIS
FAUNA;ANIMAIS DE UMA REGIÃO
FAUNO;CRIATURA MITOLÓGICA
FAVOR;ATO DE GENTILEZA
FAZEM;REALIZAM ATIVIDADES
FAZER;PRODUZIR OU CONSTRUIR
FAZES;EXECUTAS UMA AÇÃO
FAZIA;REALIZAVA NO PASSADO
FEBRE;TEMPERATURA CORPORAL ALTA
FECHA;ENCERRAR A ENTRADA
FECHO;TRINCO DE FECHAMENTO
FEDER;EXALAR MAU CHEIRO
FEIAS;DESPROVIDAS DE BELEZA
FEIOS;DESAGRADÁVEIS À VISTA
FEIRA;MERCADO POPULAR LIVRE
FEITA;CONSTRUÍDA OU PRONTA
FEITO;CONCLUÍDO COM SUCESSO
FEIXE;CONJUNTO AMARRADO
FELIZ;CONTENTE E REALIZADO
FEMUR;MAIOR OSSO DA PERNA
FENDA;RACHADURA NA ROCHA
FERAS;ANIMAIS SELVAGENS PERIGOSOS
FERIA;DESCANSO OU FERIMENTO
FERIR;CAUSAR LESÃO FÍSICA
FEROZ;BRAVO E AGRESSIVO
FERRA;MARCAR COM FERRO QUENTE
FERRO;METAL PESADO ELEMENTAR
FERVE;LÍQUIDO EM EBULIÇÃO
FESTA;CELEBRAÇÃO FESTIVA
FETAL;RELATIVO AO FETO
FETOS;EMBRIÕES EM DESENVOLVIMENTO
FEUDO;TERRA DO SENHOR MEDIEVAL
FEZES;EXCREMENTOS DO CORPO
FIAPO;FIO MUITO PEQUENO
FIBRA;FILAMENTO TÊXTIL OU NUTRITIVO
FICAR;PERMANECER EM UM PONTO
FIEIS;LEAIS E DEVOTOS
FIGOS;FRUTOS DA FIGUEIRA
FILAO;PÃO GRANDE COMPRIDO
FILAR;PEGAR SEM PAGAR
FILAS;ENFILEIRAMENTO DE PESSOAS
FILET;BIFE MACIO E FINO
FILHO;DESCENDENTE DIRETO
FILME;OBRA CINEMATOGRÁFICA
FINAL;DESFECHO OU TÉRMINO
FINAS;DELGADAS E ELEGANTES
FINDA;TERMINA UMA ETAPA
FINDO;CHEGADO AO FIM
FINOS;DE POUCA ESPESSURA
FINTA;DRIBLE DESCONCERTANTE
FIQUE;PERMANEÇA NO LUGAR
FIRMA;EMPRESA OU ASSINATURA
FIRME;ESTÁVEL E SEGURO
FISCO;ÓRGÃO TRIBUTÁRIO DO ESTADO
FITAS;FAIXAS ADESIVAS
FIXAR;PRENDER FIRMEMENTE
FIXAS;IMÓVEIS NO LUGAR
FIXOS;QUE NÃO SE MOVEM
FLAMA;CHAMA ARDENTE
FLEMA;SERENIDADE / CALMA EXCESSIVA
FLORA;PLANTAS DA REGIÃO
FLUIR;CORRER COMO LÍQUIDO
FLUXO;MOVIMENTO CONTÍNUO
FOCAL;DO PONTO DE FOCO
FOCAS;MAMÍFERO AQUÁTICO
FOCOS;PONTOS DE CONCENTRAÇÃO
FOFOS;MACIOS AO TOQUE
FOGAO;ELETRODOMÉSTICO DE COZINHAR
FOGOS;PIROTECNIA OU LABAREDAS
FOICE;LÂMINA CURVA AGRÍCOLA
FOLHA;LÂMINA VERDE DA ÁRVORE
FOLIA;ALEGRIA DE CARNAVAL
FOMES;VONTADE DE COMER
FONTE;ORIGEM OU MINA DE ÁGUA
FORAS;MANDAR EMBORA
FORCA;CORDEL DE ENFORCAMENTO
FORJA;OFICINA DE FERREIRO
FORMA;CONFIGURAÇÃO VISUAL
FORNO;EQUIPAMENTO DE ASSAR
FORRA;REVESTIR POR DENTRO
FORRO;TETO INTERNO DA CASA
FORTE;VIGOROSO E ROBUSTO
FORUM;TRIBUNAL DA JUSTIÇA
FOSCA;SEM BRILHO LUSTROSO
FOSCO;SUPERFÍCIE OPACA
FOSSA;CAVIDADE SUBTERRÂNEA
FOSSO;VALA PROTETORA DE CASTELO
FOSTE;VERBO IR NO PASSADO
FOTOS;IMAGENS FOTOGRÁFICAS
FRACO;SEM VIGOR OU RESISTÊNCIA
FRADE;RELIGIOSO DE CONVENTO
FRASE;ENUNCIADO COM SENTIDO
FREAR;ACIONAR O FREIO
FREIO;MECANISMO DE PARADA
FRESA;MÁQUINA OPERATRIZ DE CORTE
FRETE;CUSTO DE TRANSPORTE
FRIAS;DE BAIXA TEMPERATURA
FRIOS;GELADOS AO TATO
FRISA;SALIENTAR COM ÊNFASE
FRISO;MOLDURA DECORATIVA
FRITA;COZIDA NO ÓLEO
FRITO;ALIMENTO DOURADO EM GORDURA
FRONT;FRENTE DE BATALHA
FROTA;CONJUNTO DE VEÍCULOS
FRUTA;ALIMENTO DOCE DA ÁRVORE
FRUTO;PRODUTO DA PLANTA / RESULTADO
FUGAS;ESCAPATÓRIAS RÁPIDAS
FUGIR;EVADIR-SE DO LOCAL
FUMAR;TRAGAR FUMAÇA
FUMOS;FUMAÇA EXPELIDA
FUNDO;PARTE MAIS BAIXA
FUNGO;COGUMELO OU BOLOR
FUNIL;UTENSÍLIO CÔNICO DE LÍQUIDO
FURAO;ANIMAL DA FAMÍLIA DOS MUSTELÍDEOS
FURAR;PERFURAR COM AGULHA
FURIA;ACESSO DE IRA
FURNA;CAVERNA PROFUNDA
FURTA;SUBTRAIR DE FORMA OCULTA
FURTO;CRIME DE ROUBO SEM VIOLÊNCIA
FUSIL;ARMA DE FOGO LONGA
FUSOS;FUSO HORÁRIO OU MECÂNICO
FUSTE;CORPO DE UMA COLUNA
FUTIL;SEM IMPORTÂNCIA OU VALOR
FUZIL;ARMA MILITAR DE TIRO
GABAR;EXALTAR AS PRÓPRIAS QUALIDADES
GADOS;REBANHO DE BOVINOS
GAGOS;QUE GAGUEJAM AO FALAR
GAITA;INSTRUMENTO MUSICAL DE FOLE
GAJOS;INDIVÍDUOS / RAPAZES
GALAO;RECIPIENTE DE 20 LITROS
GALAS;FESTAS LUXUOSAS
GALHO;RAMIFICAÇÃO DA ÁRVORE
GALOS;AVES MACHO DA GALINHA
GAMBA;MARSUPIAL QUE EXALA ODOR
GANHA;RECEBER RECOMPENSA
GANHO;BENEFÍCIO CONQUISTADO
GANSO;AVE AQUÁTICA DE PESCOÇO LONGO
GARBO;ELEGÂNCIA E NOBREZA
GARCA;AVE BRANCA DE LAGOA
GARFA;ESPETAR COM TALHER
GARFO;TALHER DE DENTES
GARIS;TRABALHADORES DA LIMPEZA PÚBLICA
GAROA;CHUVA MUITO FINA
GARRA;UNHA AFIADA DE PREDADOR
GASES;ESTADO GASOSO DA MATÉRIA
GASTO;DESPESA REALIZADA
GATAS;FELINOS DOMÉSTICOS FÊMEAS
GATOS;FELINOS DE ESTIMAÇÃO
GEADA;CONGELAMENTO MATINAL DE ORVALHO
GEEKS;APAIXONADOS POR TECNOLOGIA
GELAD;MUITO FRIO
GELAR;TRANSFORMAR EM GELO
GELEI;COBERTURA DE FRUTAS
GELOS;ÁGUA EM ESTADO SÓLIDO
GEMAR;COLOCAR GEMA
GEMAS;PARTE AMARELA DO OVO
GEMER;EMITIR SOM DE DOR
GENES;UNIDADES DE HERANÇA GENÉTICA
GENIO;PESSOA EXTREMAMENTE BRILHANTE
GENRO;MARIDO DA FILHA
GENTE;PESSOAS EM SOCIEDADE
GERAL;ABRANGENTE A TODOS
GERAR;PRODUZIR OU DAR VIDA
GERME;MICRO-ORGANISMO VIVO
GESSO;MINERAL PARA MOLDES
GESTA;FEITO HEROICO
GESTO;MOVIMENTO COMUNICATIVO DO CORPO
GIBIS;REVISTAS DE HISTÓRIA EM QUADRINHOS
GIRAR;MOVER EM ROTAÇÃO
GIROS;VOLTAS COMPLETAS
GIZES;BASTÕES DE ESCREVER NA LOUSA
GLOBO;ESFERA TERRESTRE
GLOSA;COMENTÁRIO EXPLICATIVO
GNOMO;ANÃO MÁGICO DOS JARDINS
GOELA;GARGANTA PROFUNDA
GOLAS;COLARINHOS DE CAMISA
GOLES;PORÇÕES DE LÍQUIDO TRAGADO
GOLFO;GRANDE REENTRÂNCIA MARÍTIMA
GOLPE;IMPACTO FÍSICO OU POLÍTICO
GOMAS;BALAS MASTIGÁVEIS OU COLA
GOMOS;PARTES DE UMA LARANJA
GONGO;DISCO METÁLICO DE SINALIZAÇÃO
GONZO;DOBRADIÇA DE PORTA
GORDA;COM BASTANTE MASSA
GORDO;CORPULENTO E NUTRIDO
GORRA;CHAPÉU DE MILITAR
GORRO;TOUCA QUENTE DE INVERNO
GOSTO;PALADAR OU PREFERÊNCIA
GOTAS;PEQUENAS ESFERAS DE LÍQUIDO
GRADE;BARREIRA DE BARRAS PARALELAS
GRADO;VONTADE OU DECRETO
GRAFA;ESCREVER COM SÍMBOLOS
GRAFO;ESTRUTURA MATEMÁTICA DE REDE
GRAMA;VEGETAÇÃO DE GRAMADO / PESO
GRANA;DINHEIRO POPULAR
GRAOS;SEMENTES COMESTÍVEIS
GRATA;AGRADECIDA PELO FAVOR
GRATO;CHEIO DE GRATIDÃO
GRAUS;UNIDADE DE MEDIDA DE ÂNGULO/CALOR
GRAVA;REGISTRAR EM ÁUDIO/VÍDEO
GRAVE;TOM BAIXO OU SITUAÇÃO SÉRIA
GRAXA;LUBRIFICANTE MECÂNICO
GRECO;DA ANTIGA GRÉCIA
GREGA;ORIGINÁRIA DE ATENAS
GREGO;CIDADÃO DA GRÉCIA
GREVE;PARALISAÇÃO DE TRABALHADORES
GRIFO;CRIATURA ALADA OU DESTAQUE
GRILA;FICAR PREOCUPADO
GRILO;INSETO SALTITANTE QUE CRICRILA
GRIPA;PEGAR INFECÇÃO VIRAL
GRIPE;DOENÇA RESPIRATÓRIA COMUM
GRITA;FALAR EM TOM MUITO ALTO
GRITO;CLAMOR EM ALTA INTENSIDADE
GROTA;CAVERNA ENTRE ROCHEDOS
GRUDA;ADERIR COM FORÇA
GRUDO;COLA ADERENTE
GRUMO;PEQUENO COÁGULO
GRUPO;REUNIÃO DE VÁRIOS ELEMENTOS
GRUTA;CAVERNA NATURAL EM ROCHAS
GUAPO;BELO E VALENTE
GUARA;LOBO BRASILEIRO DO CERRADO
GUARD;GUARDAR / PROTEGER
GUETO;BAIRRO SECLUÍDO
GUIAR;CONDUZIR O VEÍCULO
GUIAS;PESSOAS QUE MOSTRAM O CAMINHO
GUINA;MUDANÇA BRUSCA DE DIREÇÃO
GULAS;DESEJO DESMEDIDO DE COMER
GURIA;MENINA JOVEM NO SUL
GURIS;MENINOS / GAROTOS
HABIL;DESTRO E TALENTOSO
HAITI;PAÍS DO CARIBE
HAREM;ALA FEMININA EM PALÁCIO
HARPA;INSTRUMENTO DE MUITAS CORDAS
HASTE;VARA RÍGIDA METÁLICA/VEGETAL
HAVER;EXISTIR OU POSSUIR
HAVIA;EXISTIA NO PASSADO
HELIO;GÁS MAIS LEVE QUE O AR
HEMOS;RADICAL DE SANGUE
HERDA;RECEBER BENS POR SUCESSÃO
HEROI;PROTAGONISTA CORAJOSO
HIATO;ENCONTRO VOCÁLICO EM SÍLABAS SEPARADAS
HIFEN;TRAÇO DE UNIÃO DE PALAVRAS
HINDU;SEGUIDOR DO HINDUÍSMO
HIPER;PREFIXO DE MUITO GRANDE
HIRTO;RÍGIDO E IMÓVEL
HOBBY;PASSATEMPO PREFERIDO
HOMEM;SER HUMANO ADULTO MASCULINO
HONDA;MARCA FAMOSA
HONRA;RESPEITO À PRÓPRIA PALAVRA
HORAS;UNIDADE DE 60 MINUTOS
HORDA;MULTIDÃO DESORDENADA
HORTA;PLANTIO DE VERDURAS E LEGUMES
HORTO;JARDIM BOTÂNICO
HOTEL;ESTABELECIMENTO DE HOSPEDAGEM
HOUVE;OCORREU NO PASSADO
HUMOR;DISPOSIÇÃO DE ESPÍRITO
HUMUS;MATÉRIA ORGÂNICA DO SOLO
IATES;EMBARCAÇÕES DE RECREIO
ICONE;SÍMBOLO REPRESENTATIVO
IDADE;TEMPO DE VIDA
IDEAL;PERFEITO NA CONCEPÇÃO
IDEIA;CONCEITO MENTAL INVENTIVO
IDOLO;PESSOA MUITO ADMIRADA
IDOSO;PESSOA NA TERCEIRA IDADE
IGLEU;CASA DE GELO DO ESQUIMÓ
IGUAL;SEM DIFERENÇAS
ILHAS;TERRAS CERCADAS DE ÁGUA
ILUDE;ENGANA COM FALSAS APARÊNCIAS
IMPAR;SEM PAR / EXTRAORDINÁRIO
IMPOR;OBRIGAR A CUMPRIR
IMPUS;DETERMINEI COM AUTORIDADE
IMUNE;PROTEGIDO DE DOENÇAS
INATO;QUE NASCE COM O INDIVÍDUO
INCAS;POVO IMPERIAL PRÉ-COLOMBIANO
INDIO;INDÍGENA NATIVO
INDUZ;LEVA A UMA CONCLUSÃO
INFRA;ABAIXO OU INFERIOR
INIBE;REPRIME OU FREIA AÇÃO
IONIC;RELATIVO A ÍONS
IRADA;CHEIA DE RAIVA
IRADO;MUITO FURIOSO OU INCRÍVEL
IRMAO;FILHO DOS MESMOS PAIS
IRMAS;FILHAS DOS MESMOS PAIS
ISCAS;ATRATIVOS PARA PESCAR
ISOLA;SEPARAR DOS DEMAIS
ISTMO;FAIXA DE TERRA ENTRE DOIS MARES
ITENS;ARTIGOS DE UMA LISTA
JACAS;FRUTAS GIGANTES TROPICAIS
JANTA;REFEIÇÃO NOTURNA
JAPAO;PAÍS DO SOL NASCENTE
JARDA;MEDIDA DE COMPRIMENTO
JARRA;RECIPIENTE COM BICO E ALÇA
JARRO;VASO DE ÁGUA
JATOS;JATOS DE ÁGUA OU AVIÕES
JAULA;GRADE PARA ANIMAIS
JAZER;ESTAR DEITADO/MORTO
JEANS;TECIDO DE BRIM AZUL
JEGUE;JUMENTO NO NORDESTE
JEITO;MANEIRA PARTICULAR DE FAZER
JEJUM;ABSTINÊNCIA DE ALIMENTOS
JESUS;FIGURA CENTRAL DO CRISTIANISMO
JIPES;VEÍCULOS TODO-TERRENO
JOGAR;PRATICAR UM JOGO
JOGOS;DISPUTAS LÚDICAS
JORGE;NOME POPULAR
JORRA;SAIR EM GRANDE FLUXO
JORRO;JATO FORTE DE LÍQUIDO
JOVEM;DE POUCA IDADE
JUBAS;PELOS DO PESCOÇO DO LEÃO
JUDEU;SEGUIDOR DO JUDAÍSMO
JUDIA;MULHER DE FÉ JUDAICA
JUIZA;MAGISTRADA TOGADA
JUIZO;TRIBUNAL OU DISCERNIMENTO
JULHO;SÉTIMO MÊS DO ANO
JUNCO;PLANTA DE BREJO FLEXÍVEL
JUNHO;SEXTO MÊS DO ANO
JUNTA;ARTICULAÇÃO OU UNIÃO
JUNTO;LADO A LADO
JURAR;FAZER UM JURAMENTO SOLENE
JURAS;PROMESSAS FEITAS
JUROS;TAXA PELO USO DO CAPITAL
JUSTA;CORRETA E HONRADA
JUSTO;EQUITATIVO E LEAL
LABIA;CONVERSA MANSA E SEDUTORA
LABIO;PARTE CARNOSA DA BOCA
LABOR;TRABALHO DURO DIÁRIO
LACAR;PRENDER COM LAÇO
LACOS;NÓS ATADOS COM FITA
LACRE;SELO DE VIOLAÇÃO
LADOS;FACES LATERAIS
LADRA;AQUELA QUE FURTA
LAGAR;LOCAL DE PISAR UVAS/AZEITONAS
LAGOA;PEQUENO CORPO AQUÁTICO
LAGOS;GRANDES CORPOS DE ÁGUA DOCE
LAICA;NÃO VINCULADA À RELIGIÃO
LAICO;ESTADO INDEPENDENTE DE DOGMAS
LAJES;PLACAS DE CONCRETO PLANAS
LANCA;HASTE PONTIAGUDA
LANCE;JOGADA DE IMPACTO
LAPIS;GRAFITE PARA DESENHO
LARGA;ESPAÇOSA E VASTA
LARGO;AMPLO OU PRAÇA PÚBLICA
LARVA;FORMA JOVEM DO INSETO
LASCA;PEDAÇO FINO DESTACADO
LASER;LUZ MONOCROMÁTICA INTENSA
LATAS;RECIPIENTES METÁLICOS
LATEX;SEIVA PARA FAZER BORRACHA
LATIM;LÍNGUA ANTIGA DE ROMA
LATIR;SOM EMITIDO PELO CÃO
LAUDO;PARECER TÉCNICO PERICIAL
LAVAR;HIGIENIZAR COM ÁGUA E SABÃO
LAVAS;ROCHA VULCÂNICA DERRETIDA
LAVOR;BORDADO OU TRABALHO MANUAL
LAVRA;EXTRAÇÃO MINERAL
LAZER;MOMENTO DE DESCANSO E PRAZER
LEAIS;FIÉIS AOS PRINCÍPIOS
LEBRE;ANIMAL SIMILAR AO COELHO
LEGAL;DENTRO DA LEI OU SIMPÁTICO
LEGAR;DEIXAR EM TESTAMENTO
LEGUA;ANTIGA MEDIDA DE CAMINHO
LEIGO;SEM CONHECIMENTO TÉCNICO
LEITE;LÍQUIDO BRANCO NUTRITIVO
LEITO;CAMA OU FUNDO DO RIO
LEMAS;FRASES DE PRINCÍPIO
LEMES;DIREÇÃO DA EMBARCAÇÃO
LENCO;PANO DE BOLSO HIGIÊNICO
LENDA;HISTÓRIA POPULAR FANTÁSTICA
LENDO;INTERPRETANDO O TEXTO
LENHA;MADEIRA PARA O FOGO
LENTE;DISPOSITIVO ÓPTICO DE FOCO
LENTO;DEVAGAR NO RITMO
LEOES;FELINOS MAJESTOSOS
LEPRA;HANSENÍASE HISTÓRICA
LEQUE;OBJETO QUE SE ABRE PARA VENTILAR
LERDO;MUITO DEVAGAR
LESAO;FERIMENTO NO CORPO
LESMA;MOLUSCO SEM CONCHA
LESTE;ORIENTE ONDE O SOL BROTA
LETRA;SÍMBOLO DO ALFABETO
LEVAR;TRANSPORTAR CONSIGO
LEVAS;LOTES DE ENVIO
LEVES;DE POUCO PESO
LIBRA;UNIDADE DE MASSA OU MOEDA
LICAO;APRENDIZADO ESCOLAR OU MORAL
LICOR;BEBIDA ALCOÓLICA DOCE
LIDAR;TRABALHAR COM ALGO
LIDER;CHEFE QUE CONDUZ OS OUTROS
LIGAR;CONECTAR DOIS PONTOS
LIGAS;MISTURAS DE METAIS
LILAS;COR ROXA SUAVE
LIMAO;FRUTA CÍTRICA AZEDA
LIMAR;DESGASTAR COM LIMA
LIMBO;ESTADO DE ESQUECIMENTO
LIMPO;LIVRE DE SUJEIRAS
LINCE;GATO SELVAGEM DE OLHOS VIVOS
LINDA;DE NOTÁVEL BELEZA
LINDO;FORMOSO E RADIANTE
LINFA;LÍQUIDO DO SISTEMA IMUNOLÓGICO
LINHA;FIO FINO DE COSTURA
LINHO;TECIDO NOBRE NATURAL
LIRIO;FLOR BRANCA SÍMBOLO DA PUREZA
LISAS;SEM ASPEREZAS
LISOS;CABELOS OU SUPERFÍCIES PLANAS
LISTA;RELAÇÃO DE ITENS ESCRITOS
LITIO;METAL USADO EM BATERIAS
LITRO;UNIDADE DE VOLUME LÍQUIDO
LIVRE;SEM AMARRAS OU PRISÃO
LIVRO;VOLUME DE FOLHAS IMPRESSAS
LIXAO;DEPÓSITO DE RESÍDUOS A CÉU ABERTO
LIXAR;TORNAR A SUPERFÍCIE LISA
LIXOS;RESTOS DESCARTADOS
LOBAS;FÊMEAS DO LOBO
LOBOS;CANÍDEOS SELVAGENS DE ALCATEIA
LOCAL;LUGAR DETERMINADO
LOGIC;LÓGICA ESTRUTURADA
LOIRA;MULHER DE CABELOS CLAROS
LOIRO;CABELO DOURADO
LOJAS;ESTABELECIMENTOS COMERCIAIS
LOMBO;PARTE DORSAL DO ANIMAL
LONGA;EXTENSA NO ESPAÇO
LONGE;A GRANDE DISTÂNCIA
LONGO;DE GRANDE DURAÇÃO
LOTAR;PREENCHER TODAS AS VAGAS
LOTES;TERRENOS URBANOS DEMARCADOS
LOUCA;VASILHA DE COZINHA OU INSANA
LOUCO;SEM O JUÍZO NORMAL
LOURO;FOLHA DE TEMPERO OU PAPAGAIO
LOUSA;QUADRO DE ESCREVER COM GIZ
LOUVA;EXALTAR EM CANTO DE GLÓRIA
LUCRO;GANHO LÍQUIDO NO NEGÓCIO
LUGAR;ESPAÇO OCUPADO
LULAS;MOLUSCOS CEFALÓPODES
LUMEN;UNIDADE DE FLUXO LUMINOSO
LUNAR;REFERENTE À LUA
LUPAS;LENTES DE AUMENTO
LUSTE;LUSTRE DE CRISTAL
LUTAR;BATALHAR EM DUELO
LUTAS;COMBATES ESPORTIVOS
LUVAS;PROTEÇÃO PARA AS MÃOS
LUXOS;CONFORTO EXCESSIVO
LUZES;FONTES DE CLARIDADE
MACIA;CONFORTÁVEL E SUAVE
MACIO;NÃO RÍGIDO AO TOQUE
MACRO;EM GRANDE ESCALA
MADRE;MADRE SUPERIORA / MÃE
MAGIA;ARTE OCULTA DE ENCANTOS
MAGMA;LAVA SUBTERRÂNEA QUENTE
MAGNA;CARTA MAGNA / PRINCIPAL
MAGNO;GRANDE E NOTÁVEL
MAGOA;TRISTEZA GUARDADA NO PEITO
MAGRA;DE POUCO CORPO
MAGRO;SEM GORDURA EM EXCESSO
MAIOR;SUPERIOR EM TAMANHO
MAJOR;PATENTE MILITAR DE OFICIAL
MALAS;BAGAGENS DE VIAGEM
MALES;DOENÇAS OU DANOS
MALHA;TECIDO TRANÇADO FLEXÍVEL
MALHO;MARTELO PESADO DE FORJA
MALTE;CEVADA GERMINADA PARA CERVEJA
MAMAE;MÃE QUERIDA
MAMAR;SUGAR O LEITE MATERNO
MAMBO;RITMO MUSICAL CARIBENHO
MANAS;IRMÃS AFETUOSAS
MANDA;ORDENAR OU ENVIAR
MANGA;FRUTA TROPICAL OU PARTE DA CAMISA
MANHA;ASTÚCIA INFANTIL OU PERÍODO MATINAL
MANIA;HÁBITO FIXO REPETITIVO
MANOS;IRMÃOS OU AMIGOS
MANSA;TRANQUILA E DÓCIL
MANSO;QUE NÃO ATACA
MANTO;CAPA DE CERIMÔNIA
MAPAS;REPRESENTAÇÃO CARTOGRÁFICA
MARCA;IDENTIDADE VISUAL DE PRODUTO
MARCO;PONTO DE REFERÊNCIA HISTÓRICO
MARES;OCEANOS DO GLOBO
MARIA;NOME TRADICIONAL
MARTE;PLANETA VERMELHO VIZINHO
MASSA;MACARRÃO OU VOLUME DE MATÉRIA
MATAR;TIRAR A VIDA DE ALGUÉM
MATAS;BOSQUES FLORESTAIS
MATIZ;VARIAÇÃO DE UMA COR
MAURO;NOME PRÓPRIO MASCULINO
MEDIR;AFERIR DIMENSÕES
MEDOS;TEMORES INTERNOS
MEIAS;VESTUÁRIO DO TORNOZELO
MEIGO;DOCE E CARINHOSO
MEIOS;RECURSOS DISPONÍVEIS
